ID,City A,City B,Distance,Time of Day,Weather,Traffic,Road Quality,Driver Experience,deliver_time
1927,Suceava,Botosani,42,1333,Clear,219.85613469218325,778,40,57
1928,Alba Iulia,Braila,514,1427,Snow,142.53922473525859,368,2,521
1929,Sibiu,Targu Mures,123,1360,Clear,437.6332470182823,24,23,160
1930,Baia Mare,Alba Iulia,238,1233,Clear,667.2878505487396,835,38,245
1931,Slatina,Deva,317,1201,Clear,113.8436738897639,195,6,333
1932,Tulcea,Hunedoara,692,1049,Rain,511.90923365303087,145,29,673
1933,Brasov,Sibiu,144,138,Rain,869.3401513229381,643,24,176
1934,Focsani,Suceava,254,321,Clear,399.4598351060432,42,29,269
1935,Suceava,Ramnicu Valcea,635,772,Rain,740.1669810089928,251,21,627
1936,Iasi,Timisoara,657,1247,Snow,593.5073442169103,659,5,653
1937,Ramnicu Valcea,Brasov,166,1133,Fog,366.1757672986953,829,11,202
1938,Botosani,Craiova,704,850,Clear,165.59182404093963,657,5,664
1939,Cluj-Napoca,Alba Iulia,103,474,Rain,45.44116540601018,428,26,120
1940,Resita,Satu Mare,411,1072,Fog,37.51783743622972,224,33,413
1941,Arad,Roman,613,1229,Fog,752.5811152127534,361,15,625
1942,Slatina,Alba Iulia,263,1248,Clear,715.2250815282243,946,38,269
1943,Barlad,Bucuresti,289,378,Clear,981.2684881999554,880,38,294
1944,Ploiesti,Bacau,283,109,Rain,587.5095261657348,434,8,307
1945,Buzau,Tulcea,212,708,Snow,570.1971089635126,247,10,253
1946,Barlad,Pitesti,406,1312,Clear,639.6047988412321,428,27,409
1947,Satu Mare,Braila,679,293,Snow,96.19459461215585,681,37,635
1948,Botosani,Timisoara,646,1381,Rain,931.057381770359,789,32,631
1949,Oradea,Ploiesti,530,1028,Snow,356.3149083111955,82,38,523
1950,Braila,Craiova,470,1248,Fog,99.97112639298722,442,9,478
1951,Barlad,Tulcea,189,955,Rain,984.8308071934698,552,10,233
1952,Slatina,Targu Mures,307,246,Fog,57.25224606443735,700,19,310
1953,Roman,Barlad,111,920,Snow,634.8572111147798,768,32,145
1954,Barlad,Cluj-Napoca,438,980,Clear,439.4754635754695,739,28,426
1955,Alba Iulia,Pitesti,234,1266,Clear,552.3747713984149,832,28,247
1956,Oradea,Cluj-Napoca,159,192,Fog,43.8407262185122,344,2,194
1957,Barlad,Constanta,309,654,Snow,662.5876589595742,313,28,335
1958,Oradea,Braila,657,115,Fog,595.6434800121889,802,14,642
1959,Iasi,Targu Mures,316,18,Clear,759.9962213639029,7,26,333
1960,Targoviste,Alba Iulia,300,488,Clear,259.1965877588499,973,10,300
1961,Roman,Arad,613,299,Clear,393.21105743766736,415,37,581
1962,Tulcea,Ramnicu Valcea,491,646,Snow,502.870524386571,861,30,479
1963,Satu Mare,Barlad,541,1288,Fog,128.54482334801241,834,31,522
1964,Baia Mare,Bucuresti,581,443,Rain,246.2698708803096,948,28,547
1965,Resita,Constanta,731,859,Snow,895.4344372711614,573,13,726
1966,Sibiu,Targu Mures,123,98,Fog,984.8598744567497,237,37,172
1967,Botosani,Tulcea,420,230,Fog,753.7365251491709,343,16,442
1968,Iasi,Targu Mures,316,970,Fog,220.01778740773648,766,22,327
1969,Deva,Ploiesti,379,633,Snow,668.2742548461559,84,9,413
1970,Iasi,Braila,241,13,Fog,480.20501493598334,785,7,273
1971,Oradea,Satu Mare,140,1078,Rain,683.085477570288,461,2,190
1972,Targu Mures,Tulcea,510,1014,Clear,289.4422515011905,27,38,495
1973,Arad,Iasi,692,1032,Rain,529.2851682805668,650,39,659
1974,Bacau,Roman,42,811,Fog,882.132701124824,63,22,114
1975,Alba Iulia,Cluj-Napoca,103,1043,Snow,933.0411774030771,981,2,157
1976,Sibiu,Hunedoara,121,77,Fog,789.7325046318086,762,10,168
1977,Brasov,Arad,447,169,Fog,454.61847718218905,394,40,443
1978,Ploiesti,Suceava,431,565,Clear,240.00979120034316,11,39,417
1979,Focsani,Oradea,563,738,Snow,877.4850510779795,908,2,570
1980,Constanta,Slatina,406,501,Snow,764.3226082026673,707,34,409
1981,Satu Mare,Resita,411,337,Rain,358.72495457786766,603,1,416
1982,Sibiu,Oradea,319,1189,Clear,305.77834469949573,743,21,319
1983,Constanta,Roman,434,1021,Clear,176.49688757340255,896,17,417
1984,Iasi,Bucuresti,409,651,Clear,7.355306872739664,376,17,395
1985,Focsani,Craiova,438,31,Rain,356.5318401656188,920,21,423
1986,Targu Mures,Pitesti,274,791,Fog,105.08789537143204,59,4,307
1987,Barlad,Hunedoara,508,1194,Rain,430.2769164400029,104,31,509
1988,Targu Mures,Galati,404,1,Clear,128.01632092619997,105,12,398
1989,Arad,Satu Mare,255,998,Rain,896.1398166330666,471,29,288
1990,Braila,Targoviste,233,201,Clear,970.6482084067417,304,36,258
1991,Arad,Ramnicu Valcea,402,1385,Clear,881.1216197609932,815,40,400
1992,Ramnicu Valcea,Resita,298,873,Fog,872.5019935315528,28,16,350
1993,Sibiu,Drobeta-Turnu Severin,319,1091,Clear,523.1776686049577,146,3,345
1994,Focsani,Braila,90,671,Rain,595.7581106102393,876,23,118
1995,Arad,Ploiesti,553,249,Clear,226.49849117793474,446,12,527
1996,Oradea,Cluj-Napoca,159,253,Fog,543.083283409564,362,40,192
1997,Alba Iulia,Vaslui,447,1043,Fog,88.3670989258466,127,31,447
1998,Braila,Roman,240,796,Rain,680.1901138695722,616,5,271
1999,Timisoara,Bucuresti,537,680,Fog,477.9098463361855,794,8,537
2000,Slatina,Targu Mures,307,772,Fog,631.1987954987036,996,26,322
2001,Ramnicu Valcea,Resita,298,1306,Clear,185.72908870422677,401,25,303
2002,Botosani,Buzau,351,784,Rain,324.7523193344697,891,21,348
2003,Roman,Targu Mures,238,1250,Fog,217.81479155116457,48,34,267
2004,Bacau,Sibiu,319,1361,Clear,895.2476837384022,674,29,337
2005,Roman,Oradea,488,504,Snow,344.4106240569311,899,27,473
2006,Roman,Pitesti,472,1307,Fog,285.68380168082786,809,20,469
2007,Iasi,Arad,692,1047,Snow,932.6713218292801,641,6,696
2008,Hunedoara,Cluj-Napoca,177,383,Fog,652.6339312279615,970,32,201
2009,Sibiu,Ploiesti,249,91,Fog,444.0548776533032,571,38,261
2010,Deva,Barlad,510,452,Fog,602.9525612982286,234,25,517
2011,Baia Mare,Buzau,562,977,Fog,450.9262248679745,987,24,548
2012,Alba Iulia,Focsani,398,584,Clear,811.9779242802654,320,21,409
2013,Pitesti,Brasov,140,1190,Fog,477.0085376358528,369,10,189
2014,Satu Mare,Roman,430,519,Snow,318.3002557863225,736,26,424
2015,Ramnicu Valcea,Galati,416,1268,Rain,126.12045255175153,112,2,429
2016,Oradea,Barlad,581,800,Fog,407.4480366373865,147,19,581
2017,Galati,Iasi,220,1306,Fog,292.5317495734363,135,20,257
2018,Craiova,Oradea,486,874,Snow,896.6408625211039,869,38,484
2019,Tulcea,Galati,93,1096,Snow,879.388108808941,892,37,131
2020,Arad,Galati,706,1315,Fog,695.293801179844,759,36,682
2021,Targoviste,Constanta,336,1351,Rain,412.63246127644527,18,16,361
2022,Hunedoara,Timisoara,168,1163,Snow,454.7375028115369,339,12,212
2023,Resita,Targu Mures,353,328,Clear,696.2449967571948,888,40,340
2024,Bacau,Timisoara,588,126,Snow,153.92087726215266,528,19,567
2025,Sibiu,Barlad,379,1209,Rain,88.80047931762181,168,36,375
2026,Craiova,Bacau,545,888,Rain,350.300800342078,762,23,527
2027,Botosani,Braila,355,99,Snow,237.2035619898313,46,31,361
2028,Focsani,Botosani,265,1216,Snow,596.4088349588213,643,3,296
2029,Botosani,Hunedoara,505,264,Clear,376.2095449076407,647,20,485
2030,Baia Mare,Barlad,482,1214,Snow,595.1715384955891,93,33,490
2031,Brasov,Focsani,178,42,Clear,373.1259950707455,388,21,195
2032,Oradea,Resita,271,858,Fog,41.05401605912018,948,40,268
2033,Drobeta-Turnu Severin,Targu Mures,403,1178,Clear,518.4735698615989,320,17,411
2034,Sibiu,Tulcea,580,1223,Snow,322.7623257484117,880,32,556
2035,Craiova,Resita,272,624,Snow,344.9131405481103,981,9,284
2036,Hunedoara,Ramnicu Valcea,229,554,Fog,108.13849420339317,865,30,237
2037,Tulcea,Sibiu,580,1291,Fog,792.1292744060563,300,22,591
2038,Bacau,Satu Mare,472,1164,Rain,496.1988300231546,749,25,466
2039,Constanta,Buzau,232,875,Rain,756.9846683433652,634,4,267
2040,Suceava,Bacau,147,206,Snow,896.656846742816,777,19,184
2041,Roman,Craiova,589,313,Clear,905.3758184109215,821,6,582
2042,Iasi,Vaslui,66,948,Clear,99.38994844418791,942,13,84
2043,Botosani,Galati,333,324,Fog,864.4330558939719,712,14,365
2044,Suceava,Focsani,254,1155,Snow,642.5992565792194,644,27,277
2045,Drobeta-Turnu Severin,Pitesti,234,87,Snow,440.33220275724216,29,23,261
2046,Alba Iulia,Resita,226,501,Rain,965.7405837631738,145,9,275
2047,Botosani,Hunedoara,505,1076,Snow,886.4823945711182,405,25,517
2048,Vaslui,Cluj-Napoca,427,23,Clear,972.5305599325636,929,34,420
2049,Resita,Craiova,272,2,Snow,388.91643119233635,233,20,290
2050,Baia Mare,Arad,318,515,Snow,651.620889098933,407,23,336
2051,Tulcea,Ramnicu Valcea,491,610,Snow,159.9592328806828,141,2,495
2052,Focsani,Sibiu,318,1272,Rain,472.9455679040441,139,30,336
2053,Constanta,Oradea,818,99,Snow,990.9754131542497,797,26,788
2054,Hunedoara,Braila,563,236,Snow,392.182291437146,489,11,550
2055,Vaslui,Braila,176,715,Fog,652.3328684352354,166,28,218
2056,Ramnicu Valcea,Bacau,487,633,Snow,782.5214075226814,244,10,506
2057,Bacau,Baia Mare,413,483,Snow,758.2748834558499,594,31,421
2058,Drobeta-Turnu Severin,Pitesti,234,1355,Snow,856.8122335448128,620,3,280
2059,Galati,Hunedoara,532,170,Rain,240.12368309548316,335,13,518
2060,Baia Mare,Botosani,336,241,Rain,433.60691885382886,318,13,352
2061,Bacau,Iasi,128,1321,Rain,289.55086748308787,899,33,146
2062,Bucuresti,Arad,570,1402,Snow,662.6724221438818,12,22,580
2063,Sibiu,Ploiesti,249,68,Clear,372.28642981911173,429,34,247
2064,Pitesti,Deva,283,694,Snow,36.04400313317102,462,35,286
2065,Craiova,Deva,255,153,Rain,580.8820605472373,770,24,266
2066,Arad,Brasov,447,470,Snow,959.5101038975956,729,26,457
2067,Tulcea,Braila,104,488,Fog,644.9857216818892,639,11,151
2068,Botosani,Timisoara,646,78,Snow,645.3461889184396,372,25,631
2069,Baia Mare,Bacau,413,425,Rain,597.9724212161759,919,15,409
2070,Galati,Timisoara,677,975,Rain,652.7240186168597,330,7,669
2071,Baia Mare,Drobeta-Turnu Severin,510,1391,Clear,473.0367804115114,521,5,510
2072,Drobeta-Turnu Severin,Resita,159,506,Clear,67.42981574389795,524,10,174
2073,Galati,Buzau,124,13,Rain,481.63072491074223,138,16,161
2074,Pitesti,Focsani,322,1178,Fog,320.9973457697839,520,28,341
2075,Timisoara,Suceava,603,1094,Clear,620.5003779158259,610,11,593
2076,Resita,Constanta,731,1224,Clear,798.585997643232,184,21,720
2077,Slatina,Targoviste,133,449,Fog,803.8709710956215,896,27,170
2078,Tulcea,Braila,104,442,Snow,204.461994515724,530,22,127
2079,Oradea,Sibiu,319,1241,Rain,883.6697872793179,623,19,345
2080,Ploiesti,Slatina,189,466,Snow,8.162914359283402,984,7,202
2081,Constanta,Focsani,284,1220,Fog,873.5697360567647,77,39,321
2082,Botosani,Buzau,351,1364,Fog,941.6156563859165,742,28,374
2083,Galati,Focsani,86,827,Clear,95.5608843577187,698,27,101
2084,Sibiu,Alba Iulia,68,506,Rain,496.9829792565926,290,30,99
2085,Botosani,Galati,333,686,Snow,900.0726961371402,551,15,359
2086,Targu Mures,Alba Iulia,132,1127,Clear,2.8108880284964943,594,26,139
2087,Ramnicu Valcea,Craiova,129,1435,Snow,101.2145606795739,753,3,162
2088,Pitesti,Focsani,322,948,Clear,816.6443900633793,669,30,333
2089,Resita,Ploiesti,514,930,Clear,950.1346166935799,391,10,523
2090,Brasov,Bucuresti,183,937,Clear,673.3357492439762,949,23,201
2091,Hunedoara,Braila,563,993,Snow,702.8287311425843,464,14,570
2092,Focsani,Hunedoara,447,1155,Clear,822.0633929431049,176,10,468
2093,Pitesti,Oradea,474,1009,Rain,410.6631761627204,459,21,473
2094,Buzau,Resita,622,1031,Rain,276.9295163674607,687,10,602
2095,Buzau,Focsani,86,831,Clear,295.07657612397145,486,1,121
2096,Timisoara,Slatina,393,679,Rain,398.45356392554953,759,4,400
2097,Constanta,Baia Mare,766,1269,Rain,39.83032100159034,304,30,717
2098,Constanta,Deva,623,632,Rain,461.50773179370697,782,13,603
2099,Targu Mures,Bucuresti,357,490,Fog,336.0541858788705,151,9,380
2100,Targu Mures,Cluj-Napoca,112,1396,Fog,180.44682749220752,395,33,147
2101,Alba Iulia,Bacau,382,795,Clear,384.7369898991547,593,30,373
2102,Satu Mare,Hunedoara,347,184,Fog,395.0399154386425,676,31,347
2103,Deva,Focsani,447,396,Fog,174.82135898606188,922,23,433
2104,Buzau,Roman,236,648,Clear,912.7673813870789,803,28,253
2105,Roman,Buzau,236,1195,Rain,681.8927011920722,440,8,275
2106,Baia Mare,Alba Iulia,238,448,Rain,524.407454262157,880,10,252
2107,Craiova,Deva,255,975,Clear,449.7119935229906,443,31,263
2108,Ramnicu Valcea,Satu Mare,447,314,Clear,19.6178858809124,710,15,423
2109,Targoviste,Iasi,420,1230,Rain,241.15562692933534,660,5,425
2110,Satu Mare,Bacau,472,187,Rain,52.76563833221826,103,7,466
2111,Timisoara,Constanta,779,793,Rain,670.5434766814257,206,37,751
2112,Sibiu,Vaslui,435,882,Snow,33.352376152854355,911,2,430
2113,Cluj-Napoca,Brasov,272,653,Snow,652.1298587959036,224,35,297
2114,Resita,Sibiu,269,966,Rain,321.08351255440203,863,16,277
2115,Alba Iulia,Barlad,455,486,Clear,368.75716603848775,483,12,446
2116,Timisoara,Alba Iulia,220,881,Fog,761.8193835921841,666,40,247
2117,Botosani,Suceava,42,1319,Clear,391.01850360176405,465,36,72
2118,Oradea,Botosani,496,596,Fog,183.58290598514438,699,35,475
2119,Tulcea,Drobeta-Turnu Severin,657,1022,Fog,280.31121916576507,146,28,646
2120,Tulcea,Cluj-Napoca,757,21,Clear,413.9229143145594,130,10,726
2121,Focsani,Barlad,85,451,Snow,191.11771362249175,306,6,127
2122,Iasi,Targoviste,420,1257,Rain,741.4576634689445,839,23,424
2123,Satu Mare,Deva,347,206,Fog,589.6701014556239,468,37,356
2124,Baia Mare,Buzau,562,546,Snow,908.4468096509504,141,24,574
2125,Satu Mare,Timisoara,309,506,Clear,710.8780027909801,379,39,317
2126,Braila,Satu Mare,679,1428,Snow,525.1810938349743,47,38,664
2127,Botosani,Sibiu,410,417,Rain,516.1972579902997,128,34,412
2128,Buzau,Hunedoara,460,1303,Rain,28.984548577306924,460,40,439
2129,Suceava,Focsani,254,754,Fog,742.9248589657018,649,30,285
2130,Satu Mare,Brasov,441,1229,Clear,625.740902428684,691,30,435
2131,Resita,Pitesti,395,594,Fog,994.380977870825,909,17,417
2132,Sibiu,Iasi,415,213,Rain,883.2642375099448,31,16,436
2133,Suceava,Targu Mures,279,269,Snow,671.5347258407818,550,32,296
2134,Targu Mures,Satu Mare,281,1268,Fog,337.0209718487923,830,29,293
2135,Satu Mare,Suceava,352,736,Rain,633.087316217398,754,27,358
2136,Satu Mare,Cluj-Napoca,176,797,Fog,884.9355929002205,93,24,228
2137,Drobeta-Turnu Severin,Resita,159,261,Rain,295.3683900699311,339,15,186
2138,Alba Iulia,Botosani,432,615,Snow,940.9945253107568,352,12,454
2139,Slatina,Botosani,648,357,Fog,65.57114425402433,150,28,625
2140,Roman,Alba Iulia,365,1322,Clear,409.6934694244252,702,26,363
2141,Drobeta-Turnu Severin,Sibiu,319,281,Clear,184.1548445383525,703,7,315
2142,Iasi,Craiova,642,1190,Rain,28.08744607052427,270,26,611
2143,Hunedoara,Galati,532,728,Rain,200.93294193340628,519,31,510
2144,Vaslui,Barlad,53,65,Rain,522.8285906278991,209,5,103
2145,Tulcea,Baia Mare,686,1339,Fog,314.8837559191031,787,5,672
2146,Vaslui,Slatina,523,1206,Fog,418.59998186432966,270,17,531
2147,Drobeta-Turnu Severin,Slatina,162,121,Rain,431.26212400137445,982,25,174
2148,Timisoara,Buzau,602,650,Rain,901.1118051682718,963,29,584
2149,Botosani,Braila,355,1097,Rain,58.92410251062608,334,27,357
2150,Targoviste,Tulcea,406,613,Rain,98.39520774612276,129,17,411
2151,Tulcea,Focsani,187,56,Rain,890.2268913976977,829,4,223
2152,Arad,Buzau,635,1353,Fog,189.68708580741944,13,19,632
2153,Pitesti,Oradea,474,49,Snow,107.86314791329433,463,3,477
2154,Alba Iulia,Braila,514,1330,Snow,339.46948489452956,806,39,501
2155,Baia Mare,Craiova,542,1249,Rain,701.1207639934634,386,4,555
2156,Targu Mures,Craiova,348,68,Fog,712.8268694124187,43,31,376
2157,Bacau,Cluj-Napoca,362,1065,Snow,665.0438361245565,261,29,384
2158,Resita,Iasi,665,800,Fog,934.1563273099198,562,24,664
2159,Sibiu,Arad,301,823,Snow,601.686482842124,280,29,321
2160,Satu Mare,Deva,347,1161,Rain,305.21532402454864,388,22,356
2161,Targoviste,Arad,523,353,Rain,559.2571250955904,636,20,511
2162,Drobeta-Turnu Severin,Targu Mures,403,1323,Clear,227.18385068103854,605,17,399
2163,Craiova,Targu Mures,348,223,Snow,729.0689738619254,869,40,349
2164,Iasi,Hunedoara,517,143,Clear,201.81819301952143,830,5,495
2165,Brasov,Bucuresti,183,477,Clear,928.0312494122618,513,1,224
2166,Arad,Barlad,682,551,Fog,641.9564677212395,429,18,673
2167,Botosani,Bucuresti,470,630,Fog,715.945578248978,897,24,473
2168,Targu Mures,Botosani,321,168,Clear,885.875072399151,783,32,321
2169,Resita,Craiova,272,154,Clear,719.0626908227749,192,14,299
2170,Botosani,Ramnicu Valcea,645,685,Snow,700.2253480751291,463,9,644
2171,Slatina,Ramnicu Valcea,88,672,Rain,105.67060392992988,313,4,122
2172,Slatina,Baia Mare,500,983,Snow,918.2481662146047,693,29,505
2173,Focsani,Tulcea,187,604,Snow,153.37246956768803,345,34,204
2174,Bacau,Braila,197,860,Snow,474.52129517709886,367,28,228
2175,Cluj-Napoca,Drobeta-Turnu Severin,374,1187,Fog,57.21394450660622,816,38,361
2176,Satu Mare,Iasi,470,929,Rain,229.617714081917,939,28,448
2177,Timisoara,Resita,98,894,Fog,806.4764410932096,287,11,159
2178,Slatina,Oradea,507,747,Clear,196.34701892067508,828,2,488
2179,Slatina,Vaslui,523,530,Snow,706.6771021221286,643,21,523
2180,Buzau,Deva,460,1356,Clear,892.4834741932161,692,6,473
2181,Suceava,Iasi,145,441,Clear,450.69053649176516,66,37,166
2182,Drobeta-Turnu Severin,Buzau,461,882,Fog,964.2916153228706,107,14,491
2183,Cluj-Napoca,Brasov,272,125,Fog,693.5667654833566,371,18,303
2184,Tulcea,Arad,882,506,Snow,933.3139146104824,627,20,851
2185,Bucuresti,Satu Mare,614,580,Snow,286.6358693910304,60,36,595
2186,Buzau,Barlad,170,736,Snow,540.4195258863002,508,28,201
2187,Pitesti,Sibiu,155,70,Clear,307.54516416570766,655,11,172
2188,Roman,Ploiesti,326,327,Clear,472.6144525347228,853,38,314
2189,Alba Iulia,Buzau,411,328,Snow,922.7212518687966,820,35,417
2190,Bacau,Resita,604,793,Clear,430.76101625835406,105,15,592
2191,Roman,Bucuresti,355,919,Snow,630.5771698707722,650,15,369
2192,Botosani,Vaslui,179,529,Clear,17.924316844163958,348,18,190
2193,Bacau,Botosani,157,529,Rain,818.0500484763111,721,21,192
2194,Braila,Tulcea,104,557,Fog,109.54628952882317,719,35,127
2195,Craiova,Pitesti,126,1362,Clear,157.09106102732528,686,4,153
2196,Brasov,Baia Mare,364,822,Clear,737.0499249022889,359,26,376
2197,Resita,Arad,159,178,Clear,856.7848707215803,250,31,190
2198,Bucuresti,Cluj-Napoca,442,714,Snow,531.8443740479745,626,32,439
2199,Targoviste,Braila,233,217,Fog,234.3555734225532,68,34,252
2200,Brasov,Barlad,239,683,Snow,156.70154888229894,453,3,265
2201,Ploiesti,Suceava,431,978,Snow,364.9751904659181,129,2,452
2202,Ramnicu Valcea,Slatina,88,1415,Snow,742.6969803203787,253,7,151
2203,Satu Mare,Craiova,575,788,Snow,620.3747276394453,849,22,562
2204,Buzau,Galati,124,884,Rain,239.0668304737783,557,22,150
2205,Pitesti,Hunedoara,283,339,Fog,436.47282366543885,384,20,309
2206,Bucuresti,Oradea,589,300,Snow,942.7300619898054,423,3,601
2207,Tulcea,Braila,104,18,Rain,738.1985697317011,79,2,158
2208,Pitesti,Galati,357,305,Clear,595.7030334446731,17,2,381
2209,Suceava,Tulcea,404,162,Clear,162.86388681205256,731,15,386
2210,Braila,Bucuresti,220,1044,Clear,264.483369792085,557,9,240
2211,Brasov,Tulcea,468,1132,Clear,936.2519930768855,263,22,480
2212,Hunedoara,Deva,16,1273,Fog,717.5183125220649,735,28,72
2213,Deva,Bacau,457,932,Snow,167.40330905220114,960,31,440
2214,Suceava,Galati,318,210,Fog,318.93198670779464,519,25,327
2215,Craiova,Tulcea,548,84,Snow,599.4840325676313,98,18,552
2216,Baia Mare,Brasov,364,63,Fog,139.5274349673412,442,37,359
2217,Hunedoara,Baia Mare,312,355,Snow,103.62411884116507,165,38,314
2218,Timisoara,Bucuresti,537,230,Fog,935.4098070276962,112,17,557
2219,Iasi,Timisoara,657,972,Clear,260.4373046073446,91,35,628
2220,Baia Mare,Timisoara,372,1215,Fog,7.243157252234678,846,14,374
2221,Cluj-Napoca,Pitesti,331,925,Rain,643.2738796701954,876,5,349
2222,Satu Mare,Iasi,470,272,Snow,175.5140923980013,801,38,443
2223,Resita,Roman,587,808,Clear,234.0983754097351,202,34,562
2224,Ploiesti,Tulcea,365,1189,Rain,482.46144877780694,646,16,375
2225,Baia Mare,Focsani,495,1352,Snow,152.19578907239972,205,18,495
2226,Suceava,Sibiu,384,322,Fog,793.9495536088227,426,14,414
2227,Suceava,Pitesti,577,86,Fog,741.4268463084017,437,1,587
2228,Braila,Oradea,657,1196,Rain,625.0406023634083,558,5,647
2229,Cluj-Napoca,Botosani,343,739,Rain,91.24762268313525,500,34,334
2230,Pitesti,Deva,283,491,Rain,690.3320809073332,230,15,313
2231,Braila,Hunedoara,563,875,Clear,888.437016529263,935,29,543
2232,Iasi,Pitesti,526,634,Clear,4.4130400369034595,503,13,502
2233,Hunedoara,Iasi,517,273,Clear,269.6674408377354,463,34,485
2234,Botosani,Tulcea,420,646,Clear,282.2790545164887,766,19,402
2235,Sibiu,Targu Mures,123,829,Snow,810.5666381590005,17,7,187
2236,Slatina,Sibiu,187,1051,Fog,207.53875334612803,774,37,201
2237,Ploiesti,Cluj-Napoca,386,695,Rain,379.050268995854,904,11,384
2238,Pitesti,Galati,357,693,Fog,723.0724110548591,86,15,394
2239,Targu Mures,Baia Mare,195,443,Rain,93.70609561141873,768,26,198
2240,Focsani,Targoviste,218,192,Fog,191.02837256962678,55,9,252
2241,Ramnicu Valcea,Craiova,129,643,Rain,900.6656682108372,312,23,174
2242,Braila,Satu Mare,679,1005,Fog,302.0755513145512,696,31,655
2243,Deva,Tulcea,710,130,Clear,878.5200864033404,922,28,675
2244,Alba Iulia,Hunedoara,79,1273,Rain,94.1922907885795,280,40,96
2245,Tulcea,Arad,882,510,Snow,666.4173457615375,852,28,837
2246,Sibiu,Drobeta-Turnu Severin,319,803,Rain,719.7491514501828,108,38,336
2247,Galati,Resita,743,440,Fog,19.469848598075213,188,10,717
2248,Targu Mures,Timisoara,346,498,Snow,667.1540940687652,778,20,361
2249,Craiova,Vaslui,578,213,Rain,301.66228823853436,418,7,565
2250,Craiova,Buzau,353,1288,Clear,486.33028801026114,122,9,375
2251,Ramnicu Valcea,Arad,402,602,Clear,311.5575508794671,144,36,391
2252,Alba Iulia,Galati,483,1198,Fog,801.9138597807341,549,18,502
2253,Targoviste,Bucuresti,81,290,Clear,378.490713933604,138,14,119
2254,Vaslui,Timisoara,661,242,Clear,636.8626567065004,462,26,630
2255,Arad,Constanta,797,1304,Clear,490.9085546180475,376,21,762
2256,Targoviste,Timisoara,489,5,Fog,91.06070024666701,79,18,486
2257,Galati,Botosani,333,965,Snow,67.0576691143272,741,18,334
2258,Drobeta-Turnu Severin,Vaslui,687,1196,Fog,443.2127948230579,37,25,681
2259,Baia Mare,Iasi,411,816,Fog,507.86869303159267,888,12,423
2260,Botosani,Timisoara,646,462,Snow,216.42163781569712,80,26,624
2261,Braila,Bucuresti,220,7,Rain,261.0402216753064,886,19,222
2262,Pitesti,Targu Mures,274,60,Snow,712.0550615794808,848,37,282
2263,Tulcea,Craiova,548,929,Snow,28.64908355366058,28,25,534
2264,Braila,Ramnicu Valcea,395,958,Fog,896.4922800026588,797,25,414
2265,Galati,Barlad,102,690,Clear,625.9097808899927,208,1,150
2266,Satu Mare,Galati,675,388,Rain,279.4854964530379,623,25,637
2267,Braila,Targu Mures,407,61,Fog,771.457417523102,996,3,423
2268,Ploiesti,Craiova,245,599,Fog,441.171027521126,105,33,268
2269,Arad,Oradea,116,810,Snow,785.7310742076814,597,31,154
2270,Deva,Drobeta-Turnu Severin,261,402,Clear,558.7458665837293,710,4,281
2271,Galati,Sibiu,403,567,Rain,819.3003684826358,295,13,422
2272,Buzau,Pitesti,237,604,Rain,323.72324317244784,500,13,259
2273,Roman,Vaslui,83,761,Snow,68.72419637075433,21,18,125
2274,Botosani,Brasov,349,924,Fog,214.77207815846288,575,37,352
2275,Tulcea,Constanta,132,907,Rain,119.68492948635424,477,5,161
2276,Galati,Oradea,650,812,Rain,386.2496399044119,103,29,633
2277,Timisoara,Ploiesti,519,88,Fog,227.38042993865315,856,17,501
2278,Targu Mures,Brasov,170,653,Snow,833.3639141423439,788,29,202
2279,Brasov,Cluj-Napoca,272,766,Rain,321.3099537008202,896,11,277
2280,Resita,Bacau,604,1417,Snow,687.2056543644339,886,21,596
2281,Braila,Ramnicu Valcea,395,65,Rain,22.476987995540654,205,9,392
2282,Oradea,Craiova,486,760,Snow,686.365609119602,809,33,483
2283,Alba Iulia,Constanta,573,400,Snow,706.8627360142312,298,2,586
2284,Brasov,Constanta,397,997,Snow,723.440747793229,82,2,432
2285,Oradea,Buzau,613,2,Snow,851.6218463872759,860,31,596
2286,Barlad,Bucuresti,289,1302,Snow,45.57681603430763,406,10,308
2287,Resita,Iasi,665,1336,Snow,357.1319701183918,615,12,653
2288,Roman,Braila,240,38,Clear,241.31395836702274,688,28,234
2289,Ramnicu Valcea,Constanta,404,979,Rain,416.6409166077488,21,19,421
2290,Pitesti,Timisoara,423,392,Fog,497.5858030327721,444,40,423
2291,Vaslui,Bucuresti,344,679,Fog,162.85501713660565,391,33,353
2292,Buzau,Botosani,351,220,Snow,716.6545921717177,904,20,360
2293,Vaslui,Timisoara,661,818,Rain,224.9901035762677,366,2,643
2294,Resita,Galati,743,179,Rain,790.9139548974165,100,5,729
2295,Deva,Vaslui,522,171,Snow,277.89326557625196,559,17,509
2296,Timisoara,Bacau,588,787,Snow,213.4896477431798,650,31,566
2297,Satu Mare,Targu Mures,281,1210,Fog,648.398733800479,262,24,318
2298,Drobeta-Turnu Severin,Arad,262,273,Snow,294.2112191611199,781,30,264
2299,Bacau,Ploiesti,283,1013,Snow,528.7942145225333,898,7,305
2300,Sibiu,Focsani,318,942,Rain,597.8741251588506,317,26,337
2301,Vaslui,Ramnicu Valcea,521,316,Rain,184.39693412888226,469,38,495
2302,Focsani,Suceava,254,405,Rain,471.27485642057985,234,13,281
